ID,Company,Job_Title,YOE,Location,Est_Salary,Job_Description,Link,Min_level,Max_level,VN,Overseas,Remote,Data_Engineer_prob,Data_Analyst_prob,Data_Scientist_prob,Business_Analyst_prob,Business_Intelligence_prob,Others_prob,Data_Engineer,Data_Analyst,Data_Scientist,Business_Analyst,Business_Intelligence,Others
3617,FIDT,( Data ) Research Intern,0,HCM,65,Minimum 10 hours/week; Students complete at least the first 2 years of university majoring in economics and finance.,https://www.linkedin.com/jobs/view/3631700502,0,0,1,0,0,0.010898425,5.43E-06,0.000332037,1.42E-05,4.02E-09,0.89287585,0,0,0,0,0,1
1084,Kyanon Digital,Machine Learning Engineer Intern,0,HCM,85,"Familiar with Object-Oriented Programming, Modular Programming. Familiar with conventional Machine Learning and Deep Learning packages: Pandas, Numpy, Scikit-learn, Pytorch or Tensorflow",https://glints.com/vn/opportunities/jobs/machine-learning-engineer-intern/7a16f88b-faae-4c6f-9474-2055d4bacf8e,0,0,1,0,0,0.009714484,0.000224158,4.20E-10,2.54E-07,1.49E-07,0.99479806,0,0,0,0,0,1
2526,Paditech,Blockchain Intern,0,HN,85,"3rd, 4th, 5th year students or have graduated within 06 months majoring in IT or equivalent from University/College. Can join part time (20 hours/week).",https://www.topcv.vn/viec-lam/thuc-tap-sinh-blockchain/1003463.html,0,0,1,0,0,0.000816583,1.35E-05,0.003848903,0.002628318,2.48E-05,0.9846249,0,0,0,0,0,1
2858,Maico Group,BI Intern,0,HCM,85,The program will not be suitable for you who are studying too many subjects in school and working another job,https://www.careerlink.vn/tim-viec-lam/thuc-tap-sinh-bi/2591533,0,0,1,0,0,0.000130922,0.000657418,0.002765148,0.078103326,0.002572874,0.9400327,0,0,0,0,0,1
3423,DataGenius,Data Engineer | Data Analyst | AI Engineer,0,HCM,105,"DataGenius company is recruiting Data Engineer, Data Analyst and AI Engineer interns with the opportunity to work officially after 3 months and the opportunity to work in France.",https://www.facebook.com/groups/datanalyticsvn/posts/3199059150387379,0,0,1,0,0,0.99985886,0.9909356,0.000205168,7.03E-07,3.56E-09,5.59E-10,1,1,0,0,0,0
3457,AHT Tech,Data Analyst Intern,0,HN,125,"Strong skills in data requirement analysis, analytical thinking, and fast learning; Experience in building dashboards and working with Tableau BI or Power BI is a plus",https://www.topcv.vn/viec-lam/thuc-tap-sinh-data-analyst/1040149.html,0,0,1,0,0,6.64E-06,0.99981654,0.001418288,0.001803079,2.20E-05,4.43E-08,0,1,0,0,0,0
6315,Bosch Global,Business Intelligence Intern,0,HCM,125,Use PowerBI and other visualization tool (training will be provided) to visualize data for communicating between stakeholders,https://www.facebook.com/groups/datanalyticsvn/posts/3251809351779025/,0,0,1,0,0,0.000785515,1.59E-06,1.82E-05,0.000117687,0.49054387,0.7649909,0,0,0,0,0,1
2879,Seal Commerce,Quality Assurance Intern ( Operations Department ),0,HN,125,Flexible schedule for students; Excellent analytical & critical thinking and problem-solving skills.,https://sealcommerce.asia/jobs/quality-assurance-intern-operations-department,0,0,1,0,0,0.003460648,2.58E-05,0.46974024,0.004025452,1.46E-05,0.6903521,0,0,0,0,0,1
3880,GenKin,Data Analyst Intern,0,HCM,125,Using Microsoft Excel at the advanced level like writing Macros and using VBA lookups,https://glints.com/vn/opportunities/jobs/data-analyst-intern/12afb320-a158-465f-961e-4824bf464607,0,0,1,0,0,0.000103738,0.9999862,5.70E-07,6.68E-06,3.49E-08,2.61E-06,0,1,0,0,0,0
3527,Noventiq,Cloud Developer Intern,0,HN,125,"Entry level, 3rd/4th-year students or fresher to 6 months experience",https://jobs.jobvite.com/noventiq/job/oxWAnfwa,0,0,1,0,0,0.000154318,9.86E-06,0.000211095,0.001380173,1.06E-05,0.997887,0,0,0,0,0,1
6322,Buymed ( Thuocsi ),Data Analyst Intern,0,HCM,125,Experience in BI tools: Power BI or similar,https://www.topcv.vn/viec-lam/data-analyst-intern/1112662.html,0,0,1,0,0,2.57E-06,0.9999908,1.56E-05,0.003283287,8.42E-05,6.56E-08,0,1,0,0,0,0
3342,AHT Tech,Data Analyst Intern,0,HN,125,Have knowledge of Power BI and Tableau BI,https://www.facebook.com/groups/datanalyticsvn/posts/3197417793884848,0,0,1,0,0,7.90E-06,0.9999695,0.000222541,0.002212212,4.14E-05,6.57E-08,0,1,0,0,0,0
3193,Eco Giong,Data Administration Intern,0,HCM,125,Good Excel skills - good data processing,https://careerstart.vn/vi/tim-viec-lam/data-administration-intern.35A82736.html,0,0,1,0,0,0.007811671,8.89E-06,0.8210172,0.004153981,2.84E-05,0.67346185,0,0,1,0,0,1
