ID,Company,Job_Title,YOE,Location,Est_Salary,Job_Description,Link,Min_level,Max_level,VN,Overseas,Remote,Data_Engineer,Data_Analyst,Data_Scientist,Business_Analyst,Business_Intelligence,Others,Bachelor,Master,PhD,predicted_salary
3617,FIDT,( Data ) Research Intern,0,HCM,65,Minimum 10 hours/week; Students complete at least the first 2 years of university majoring in economics and finance.,https://www.linkedin.com/jobs/view/3631700502,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
1084,Kyanon Digital,Machine Learning Engineer Intern,0,HCM,85,"Familiar with Object-Oriented Programming, Modular Programming. Familiar with conventional Machine Learning and Deep Learning packages: Pandas, Numpy, Scikit-learn, Pytorch or Tensorflow",https://glints.com/vn/opportunities/jobs/machine-learning-engineer-intern/7a16f88b-faae-4c6f-9474-2055d4bacf8e,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
2526,Paditech,Blockchain Intern,0,HN,85,"3rd, 4th, 5th year students or have graduated within 06 months majoring in IT or equivalent from University/College. Can join part time (20 hours/week).",https://www.topcv.vn/viec-lam/thuc-tap-sinh-blockchain/1003463.html,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
2858,Maico Group,BI Intern,0,HCM,85,The program will not be suitable for you who are studying too many subjects in school and working another job,https://www.careerlink.vn/tim-viec-lam/thuc-tap-sinh-bi/2591533,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
3423,DataGenius,Data Engineer | Data Analyst | AI Engineer,0,HCM,105,"DataGenius company is recruiting Data Engineer, Data Analyst and AI Engineer interns with the opportunity to work officially after 3 months and the opportunity to work in France.",https://www.facebook.com/groups/datanalyticsvn/posts/3199059150387379,0,0,1,0,0,1,1,0,0,0,0,0,0,0,317.3274284298267
3457,AHT Tech,Data Analyst Intern,0,HN,125,"Strong skills in data requirement analysis, analytical thinking, and fast learning; Experience in building dashboards and working with Tableau BI or Power BI is a plus",https://www.topcv.vn/viec-lam/thuc-tap-sinh-data-analyst/1040149.html,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
6315,Bosch Global,Business Intelligence Intern,0,HCM,125,Use PowerBI and other visualization tool (training will be provided) to visualize data for communicating between stakeholders,https://www.facebook.com/groups/datanalyticsvn/posts/3251809351779025/,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
2879,Seal Commerce,Quality Assurance Intern ( Operations Department ),0,HN,125,Flexible schedule for students; Excellent analytical & critical thinking and problem-solving skills.,https://sealcommerce.asia/jobs/quality-assurance-intern-operations-department,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
3880,GenKin,Data Analyst Intern,0,HCM,125,Using Microsoft Excel at the advanced level like writing Macros and using VBA lookups,https://glints.com/vn/opportunities/jobs/data-analyst-intern/12afb320-a158-465f-961e-4824bf464607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
3527,Noventiq,Cloud Developer Intern,0,HN,125,"Entry level, 3rd/4th-year students or fresher to 6 months experience",https://jobs.jobvite.com/noventiq/job/oxWAnfwa,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
6322,Buymed ( Thuocsi ),Data Analyst Intern,0,HCM,125,Experience in BI tools: Power BI or similar,https://www.topcv.vn/viec-lam/data-analyst-intern/1112662.html,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
3342,AHT Tech,Data Analyst Intern,0,HN,125,Have knowledge of Power BI and Tableau BI,https://www.facebook.com/groups/datanalyticsvn/posts/3197417793884848,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
3193,Eco Giong,Data Administration Intern,0,HCM,125,Good Excel skills - good data processing,https://careerstart.vn/vi/tim-viec-lam/data-administration-intern.35A82736.html,0,0,1,0,0,0,0,1,0,0,1,0,0,0,224.4260413042498
5038,JKA,Data Analyst ( Part-time ),0,Nha Trang,125,"15 people; Ability to synthesize and analyze data; Part time: 5:00 p.m. - 9:00 p.m. weekdays, or weekends, or flexibly arranged depending on employee needs and project requirements (30,000 VND per hour)",https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-du-lieu-data-analysts-entry-level-o-van-phong-nha-trang-part-time/1021270.html,0,1,1,0,0,0,1,0,0,0,0,0,0,0,716.6216152825339
3130,Noventiq,Sales Analyst Intern,0,"HCM, Remote*",125,"3rd/4th-year students or fresher to 6 months experience; Flexible working time, WFH is applicable; Fluency in Excel and BI tools (Power BI practice is an advantage).",https://jobs.jobvite.com/noventiq/job/otYunfw2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,61.084111520985516
3898,Buymed ( Thuocsi ),Data Analyst Intern,0,HCM,125,"Fresher/4th year student of Computer science, Information technology, software development or related fields.",https://www.linkedin.com/jobs/view/data-analyst-intern-at-buymed-3637049782/,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
3927,ICHIBA,Data Analyst,0,HN,130,Final year students in fields related to Data Science.,https://www.topcv.vn/viec-lam/intern-data-analyst/1048901.html,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
4521,Officience,"IT Intern ( Big Data, Data Science)",0,HCM,130,Final year students in fields related to Data Science,https://www.topcv.vn/viec-lam/it-intern-big-data-data-science/1062303.html,0,0,1,0,0,0,0,0,0,1,0,0,0,0,163.72727283447375
2653,Central Retail,Logistics Trainee | Intern,0,HCM,150,"Handling data, documents, daily export and import activities; In addition, he will also interact with other departments to deliver goods from the destination port to ensure deadlines, and will be a member of the project on warehouse, transportation, import-export, and related systems.",https://homeentertainment.centralretail.com.vn/job/-central-retail-logistics-trainee.35a9c5a8.html,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
3972,Customore,E-commerce Analyst Internship,0,HCM,150,"Proficient in Excel and Google Sheet: Having prior experience in automating data-oriented process through VBA, SQL or any other tool is a plus; Commit at least 6 months for the internship",https://www.linkedin.com/jobs/view/3639416509/,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
1176,CEL,Supply Chain Intern - Consulting Service,0,HCM,150,"Bachelor degree (master degree is a strong plus) in Mathematics Engineering, Information Technology, Supply Chain, Industrial Engineering, Applied science, Data Science",https://www.cel-consulting.com/open-positions,0,0,1,0,0,0,0,0,0,0,1,1,1,0,-50.48451161
1121,New Ocean IS,Data Analyst Intern,0,HCM,150,"Efficient of SQL, able to query and manipulate necessary data from SQL data sources; Efficient in modeling data with at least 1 language (Python, R, JS, Java, Scala);",https://nois.vn/job-description/data-analyst-internship/,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
3027,InterContinental,Finance Intern,0,Nha Trang,150,"Expertise in numbers and good math skills are very important; Must be able to collect, evaluate and interpret data, in both statistical and narrative form",https://jobsgo.vn/viec-lam/finance-intern-thuc-tap-sinh-ke-toan-15309901551.html,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
2162,VNDirect,AI Engineer Intern,0,HN,150,"Final year students or recent graduates majoring in information technology, computer science or AI-related fields; Able to program python",https://vndirectcareers.com/job/ai-engineer-intern.35a9cad0.html,0,0,1,0,0,1,0,0,0,0,0,0,0,0,249.6695947975948
5443,Saola Labs,"Product Management Intern ( FinTech, Blockchain )",0,HCM,150,"Hybrid work: 60% team working at our HCMC office + 40% remote; Experience using Google Docs, Sheet, Slide and basic data analysis skills",https://www.linkedin.com/jobs/view/3680122075,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
1710,ABS ( Chung khoan An Binh ),Developer Intern,0,HN,150,"Currently a 3rd or final year student majoring in IT or equivalent knowledge, wanting a practical learning and development environment.",https://www.abs.vn/tuyen-dung/thuc-tap-sinh-developer-developer-intern/,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
2494,KPIM,Business Intelligence Intern,0,Remote,150,"Working remotely, it doesn't matter what area you are in; Sign up for a flexible work schedule, consistent with your school schedule",https://www.facebook.com/groups/datanalyticsvn/posts/3184603958499565,0,0,0,0,1,0,0,0,0,1,1,0,0,0,619.3125966739813
5132,FPT,Data Analyst Intern ( IS ),0,HN,150,"Full day or ½ day; 4th year university student, majoring in Data Science, or information technology, or related fields.",https://www.topcv.vn/viec-lam/thuc-tap-sinh-data-analyst/1076806.html,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
2855,Finful,Corporate Strategy Analyst Internship,0,Remote,150,Experience with data analysis and research methodologies; Strong analytical and critical thinking skills,https://www.linkedin.com/jobs/view/3610574686,0,0,0,0,1,0,0,1,0,0,0,0,0,0,612.0379084338501
1737,DEK Technologies,Internship Program 2023 ( DEK Lab ),0,HCM,150,Master at least 1 programming language; Flexible and able to adapt to new technologies,https://vncareers.dektech.com.au/jobs/Careers/657228000000683005/INTERNSHIP-PROGRAM-2023,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1493.795533405669
2900,STECH,Data Science [ Python ] Intern,0,HCM,150,"Understand concepts of Machine learning (models), Data science, Python",https://www.facebook.com/groups/datanalyticsvn/posts/3189145564712071,0,0,1,0,0,0,0,1,0,0,0,0,0,0,326.5943395
2723,Panasonic,AI Intern,0,HN,150,Good programming skill in one of languages C/C++/Python.,https://www.topcv.vn/viec-lam/ai-intern/616147.html,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
4672,Top On Seek ( TOS ),Business Data Analysis ( Intelligent ),0,HCM,155,"Final year students or recent graduates from universities majoring in Marketing, Economics, Statistics, Information Technology or related fields.",https://www.topcv.vn/viec-lam/thuc-tap-sinh-business-data-analysis-intelligent/345567.html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,392.3935082212183
3131,Undisclosed,Data Analyst Intern,0,HN,170,(Cau Giay) needs to recruit 2 intern Data Analysts to support costs and internship stamps. There is a mentor for direction. Review to main staff after intern. Yc is a final year student in the right major. Fulltime Monday-Friday,https://www.facebook.com/groups/datanalyticsvn/posts/3192879124338715,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
5072,Phenikaa-X,AI Engineer Intern,0,HN,170,"Currently pursuing a degree in Computer Science, Robotics, AI, or a related field; Familiarity with data cleaning, analyzing, and preprocessing (Computer Vision/ Image Processing) techniques.",https://www.linkedin.com/jobs/view/3669971865,0,0,1,0,0,0,0,0,0,0,0,0,0,0,392.3935082212183
4292,Alpha Panda,Product Operation Intern,0,Remote,170,Partner with teams to help define goals for the metrics to define team prioritization in a data driven way; Help build a user-friendly data platform that gives users effective data support,https://glints.com/vn/opportunities/jobs/product-operation-intern-full-time-remote/2530cab0-3d86-4661-85d6-f9c6b8ac2fb6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,193.44871837466485
5211,InvestIdea ( Diem Sang Cong Nghe ),Intern Data Engineer ( Fulltime ),0,HN,170,"[5 slots] Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.",https://www.topcv.vn/viec-lam/intern-data-engineer-tieng-anh-kha-lam-viec-fulltime/1079033.html,0,0,1,0,0,1,0,0,0,0,0,0,0,0,249.6695947975948
3102,Undisclosed,Data Analyst Intern,0,HN,170,"(HN) Recruiting 2 full-time DA interns for one-round online interview, 3-month training with salary support of 2-4M. Requires knowledge of SQL, Power BI, R databases",https://www.facebook.com/groups/datanalyticsvn/posts/3192414117718549,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
4324,AB InBev,Planning & Performance Management For Supply Chain & Logistics,0,Binh Duong,170,"Education in finance accounting background; Strong analysis skills, logical thinking; Excel and Marco is a plus",https://www.linkedin.com/jobs/view/3648082872,0,0,1,0,0,0,0,0,0,0,0,0,0,0,392.3935082212183
5190,Reputyze Asia ( Lua A Chau ),Social Media Data Analyst Intern,0,HCM,170,"2nd and 3rd year students, priority given to those interested in Marketing, Digital Marketing, Market Research.",https://www.topcv.vn/viec-lam/thuc-tap-sinh-phan-tich-du-lieu-mang-xa-hoi-social-media-data-analyst-intern/334071.html,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
4762,Sonat Game Studio,Data Analyst Intern,0,HN,170,"[Recruit 05 people] 3rd year, 4th year students majoring in economics or IT",https://sonat.vn/c/data-analyst-intern-16843920,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
1780,IceBear,Data Analyst Intern ( Mobile Game ),0,HN,170,"Analyze products, data and mobile game market from incoming data sources",https://docs.google.com/document/d/16T0B_hl72NfWJQG5cH9Ue3JNgHIUxtzzHTIteqwBZbo/edit,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
6149,Reputyze Asia ( Lua A Chau ),Media Data Analyst Intern,0,HCM,170,[PHÚ NHUẬN - HCM] 2 Slot Social Media Data Analyst Intern,https://www.facebook.com/groups/datanalyticsvn/posts/3247223208904306/,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
3065,LifesUp Software,Data Analyst Intern,0,HN,170,"Be a final-year student or a recent graduate of a university majoring in Information Technology, economics, statistics, accounting, etc. and can meet the FULLTIME deadline.",https://www.facebook.com/groups/datanalyticsvn/posts/3191772904449337,0,0,1,0,0,0,1,0,0,0,0,0,0,0,178.92566130796553
3054,Delta Cognition,Machine Learning Intern,0,HCM,200,"Fundamental knowledge of key machine learning and data science concepts across a number of disciplines such as Natural Language Processing, Social Network Analysis, Time Series Analysis, Computer Vision and others",https://www.deltacognition.com/careers,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
2546,HSBC,Digital Business Services Management Internship | Data Analytics,0,HN,200,Students with Letter of Recommendation/Introduction for the internship period from Universities/Educational Institutions;; Ability to intern full-time from 6 to 9 months is plus,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/VIETNAM-INTERNSHIP-PROGRAMME-2023-INTAKE-1/183129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,392.3935082212183
3064,VNG Corporation,Business Intelligence Intern ( ZaloPay ),0,HCM,200,"Good Proficiency in Excel and SQL, with a willingness to learn other languages; Pursuing or had a degree in Marketing, Business, Analytics, or a related field.",https://careerstart.vn/vi/tim-viec-lam/zalopay-business-intelligence-intern.35A82150.html,0,0,1,0,0,0,0,0,0,1,0,0,0,0,163.72727283447375
1839,TalentJDI's Client,Blockchain Developer Internship,0,HCM,200,"Familiarity with some programming languages (NOT all required), such as Javascript, Node.js, C++, Typescript, React, HTTPs, APIs, REST,… Familiarity with Git.",https://talentjdi.com/job/blockchain-developer-internship-bcd01/,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
2843,Central Retail,Finance Intern,0,HCM,200,Having knowledge of Data analytic/ VBA/ PowerBI is an advantage · Good Excel skills; University and college students in 3rd and 4th years,https://www.linkedin.com/jobs/view/3511962137,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
3452,VNG Corporation,Ads Monetization Intern,0,HN,200,"Having data-driven mindset; Assist in setting, tracking, and maintaining Ads revenue and other Monetization metrics on a daily basis",https://careerbuilder.vn/vi/tim-viec-lam/ads-monetization-intern.35BD15C1.html,0,0,1,0,0,0,0,0,0,0,1,0,0,0,310.0742278707489
1837,TalentJDI's Client,Automation & Platform Engineering Intern,0,HCM,200,"Pursuing or recently graduated with a bachelor’s Degree in computer science, software engineering, or a similar field of study",https://talentjdi.com/job/automation-platform-engineering-intern-ape01/,0,0,1,0,0,0,0,0,0,0,1,1,0,0,319.35572322410127
